       eth0       
 KB/s in  KB/s out
 8208.51   3583.62
 9430.89   3743.66
 9715.40   8415.76
 7987.44   2995.62
    5.86      5.47
17432.00  10531.97
 4029.91   5438.18
16709.80   6667.98
12000.90   9684.70
 8074.66   8165.04
 9554.49   9085.71
  297.62    305.04
 2644.95   2206.97
12016.80   5545.77
11253.36   8825.33
18375.49  12370.30
12227.56  15847.27
 2853.86    700.15
       eth0       
 KB/s in  KB/s out
  154.93   4984.37
 1263.15    190.38
 5947.99   7896.50
13472.61  11078.01
10813.20  12357.90
11156.76  13759.52
 5177.08   4601.72
    1.64      8.63
 6152.77    391.21
10793.97  13457.40
 1022.51    491.83
13901.41   2113.02
25489.21  18390.44
 9022.94   3399.87
 5884.68   5052.10
  158.67    776.66
12937.29   2161.27
 8180.03  17136.36
11708.26  11799.94
13631.18  11071.75
13673.62  11441.74
    4.05      3.76
       eth0       
 KB/s in  KB/s out
  223.68     44.45
 8946.52   3202.13
 5902.83  11718.77
10869.22   9137.06
 8890.09   9182.32
20711.12  11865.96
 2191.60    799.34
 6137.52   5708.36
 5351.87   6136.39
 2863.07   1769.67
11913.30   4894.61
12574.69   6785.12
 6250.73  10231.45
14179.54   5623.25
  186.03    131.89
 2229.51    155.35
 9534.59  13516.15
13856.26   8517.97
 1803.95   5188.97
18218.14  14208.10
10473.19   8450.27
 1004.93    116.53
       eth0       
 KB/s in  KB/s out
   15.87    101.35
10701.58   7782.15
19696.55  13142.37
21270.15  11846.31
 7272.55   4829.55
 7470.84   7498.57
 5331.23   4659.69
 1154.20   1178.09
 9535.16  12248.39
12054.29   2800.60
17631.42   9241.70
15874.14   8649.97
13705.64   8969.93
 2079.93   4361.93
 4391.38   4382.98
 2944.18    142.81
 9856.33   4527.48
13863.50   9717.98
13551.05   9200.42
12874.69   5397.50
 6103.06   2757.16
    2.33     10.93
       eth0       
 KB/s in  KB/s out
    0.83      1.07
16161.26   8242.31
15354.00  10778.79
 9498.10   8073.03
12393.93  16486.39
 3628.64   3140.65
 5092.33   5072.20
  827.41    403.88
